127.0.0.1 - - [08/Dec/2023:10:21:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:21:21 +0530] "GET /MyCustomRp/ HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:21:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:21:33 +0530] "GET /MyCustomRp/login.do?uname=hello&pword=hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:21:38 +0530] "GET /MyCustomRp/login.do?uname=hello&pword=hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:21:43 +0530] "GET /MyCustomRp/login.do?uname=hello&pword=hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:22:14 +0530] "GET /MyCustomRp/login.do?uname=hello&pword=hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:22:28 +0530] "GET /MyCustomRp/login.do?uname=admin&pword=admin123 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:23:06 +0530] "GET /MyCustomRp/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:23:18 +0530] "GET /MyCustomRp/login.do?uname=admin&pword=admin123 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:23:28 +0530] "GET /MyCustomRp/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:24:01 +0530] "GET /MyCustomRp/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:24:07 +0530] "GET /MyCustomRp/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:26:05 +0530] "GET /MyCustomRp/login.do?uname=admin&pword=admin123 HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:26:37 +0530] "GET /MyCustomRp/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:27:53 +0530] "GET /MyCustomRp/index.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Dec/2023:10:27:57 +0530] "GET /MyCustomRp/index.jsp HTTP/1.1" 200 368
